PremiseID,PremisesName,AltPremisesName,Customer,TenancyUnitShopOrLevel,BuildingType,StreetNumber,StreetName,Suburb,State,Postcode,Latitude,Longitude,RatingReferenceNumber,RatingType,RatingScope,CertificateValidTo,EnergyStarRatingValue,EnergyGPStarRatingValueNoGP,SectorComparisonDial,RatingProgressMetricForEnergyWithoutGreenPower,EnergyGreenPowerPercent,EnergyGreenPower,WasteStarRatingValue,IEQStarRatingValue,GHGEmissionsScope123WithRenewableElectricity,GHGEmissionsScope123WithoutRenewableElectricity,GHGEmissionsScope123PerM2WithRenewableElectricity,GHGEmissionsScope123PerM2WithoutRenewableElectricity,EnergyIntensity,GHGEmissionsScope123PerRoom,GHGEmissionsScope123PerRoomNoGP,TotalEnergyUse,CarbonNeutral,CarbonNeutralExpiryDate,WaterStarRatingValue,WaterStarRatingValueNoRW,RatingProgressMetricForWaterWithoutRecycledWater,RatingProgressMetricForWaterWithRecycledWater,WaterRecycledPercent,WaterRecycled,WaterConsumption,WaterConsumptionWoRW,WaterIntensity,WaterIntensityNoRW,ThermalComfortScore,AirQualityScore,AcousticComfortScore,LightingScore,OfficeLayoutScore,RecycleRate,WasteIntensity,MainRatingAttribute,AAAStarRatingValue,DataCentre_PUE,HospitalPeerGroup,RetailStoreCategory,School_SubSector,School_Remoteness,RatedElectricity,RatedGas,SchoolRatedLPG,GasAndLPG_REI%,RatedDiesel,Diesel_REI%,REIResult_%,REIResult1dp_%,TotalRenewableElectricity_kWh,NonRenewableElectricity_kWh,NonRenewableElectricity_REI%,OnsitePVCapacity_kW,OnsiteRenewableElectricity_kWh,OnsiteRenewableElectricity_REI%,RETandStateTerritoryTargets_kWh,RETandStateTerritorytargets_REI%,GreenPower_kWh,GreenPower_REI%,OtherVoluntaryPurchases_kWh,OtherVoluntaryPurchases_REI%,EmbodiedCarbonStarRating,RatingProgressMetricForEmbodiedCarbon,CarbonIntensityPerM2,TotalEmissionsA1-A5,TotalStoredEmissions_KGCO2e,TotalStoredEmissions_%,TotalOffsetEmissions_KGCO2e,TotalOffsetEmissions_%
10606,Joondalup Square Shopping Centre,Joondalup Square Shopping Centre,The Trust Company (Australia) Pty Ltd as custodian for Barings Miller Investment Trust ,,Shopping Centre,="3",Sundew Rise,JOONDALUP,WA,6027,-31.75961933,115.77294650,WV1037,Waste,,30/04/2026,,,,,,,,,,,,,,,,,NO,30/04/2026,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10620,The Village - University of Adelaide,The Village - University of Adelaide,Cedar Pacific 1 Pty Ltd ATF Cedar Pacific Grote Trust,,Hotel,="210",Grote Street,Adelaide,SA,5000,-34.92848667,138.59103342,WV1048,Waste,,31/12/2025,,,,,,,,,,,,,,,,,NO,31/12/2025,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10621,Unilodge Melbourne CBD,Unilodge Melbourne CBD,Cedar Pacific 1 Pty Ltd ATF Cedar Pacific Wills Trust,,Hotel,="17-23",Wills Street,Melbourne,VIC,3000,-37.81089957,144.95710626,WV1047,Waste,,31/12/2025,,,,,,,,,,,,,,,,,NO,31/12/2025,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10622,UniLodge Melbourne Central,UniLodge Melbourne Central,Cedar Pacific 1 Pty Ltd ATF Cedar Pacific LaTrobe Trust,,Hotel,="293-303",La Trobe Street,MELBOURNE,VIC,3000,-37.81081791,144.96046936,WV1044,Waste,,31/12/2025,,,,,,,,,,,,,,,,,NO,31/12/2025,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3872,Pullman Albert Park Melbourne,Pullman Albert Park Melbourne,CAPITALAND AUSTRALIA PTY LTD,,Hotel,="65",Queens Road,MELBOURNE,VIC,3004,-37.84992474,144.97836844,WV1034,Waste,,27/09/2025,,,,,,,,,,,,,,,,,NO,27/09/2025,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3874,PULLMAN SYDNEY HYDE PARK,PULLMAN SYDNEY HYDE PARK,CAPITALAND AUSTRALIA PTY LTD,,Hotel,="36",College Street,DARLINGHURST,NSW,2010,-33.87623931,151.21263054,WV1035,Waste,,26/09/2025,,,,,,,,,,,,,,,,,NO,26/09/2025,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3875,Novotel Sydney Central,Sydney Central Hotel by ASCOTT,CAPITALAND AUSTRALIA PTY LTD,,Hotel,="169-179",Thomas Street,HAYMARKET,NSW,2000,-33.88264745,151.20271278,WV1032,Waste,,30/09/2025,,,,,,,,,,,,,,,,,NO,30/09/2025,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3944,Village Centre Batemans Bay,Village Centre Batemans Bay,LIF PTY LIMITED,,Shopping Centre,="1",PERRY ST,BATEMANS BAY,NSW,2536,-35.70699984,150.17580854,WV1017,Waste,,17/03/2026,,,,,,,,,,,,,,,,,NO,17/03/2026,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3946,MarketPlace Leichhardt,MarketPlace Leichhardt,LIF PTY LIMITED,,Shopping Centre,="122-138",FLOOD ST,LEICHHARDT,NSW,2040,-33.88518532,151.14902874,WV1018,Waste,,21/03/2026,,,,,,,,,,,,,,,,,NO,21/03/2026,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8637,Bridge Plaza,Bridge Plaza,LIF PTY LIMITED,,Shopping Centre,="9",Clyde Street,BATEMANS BAY,NSW,2536,-35.70492053,150.17703253,WV1019,Waste,,21/03/2026,,,,,,,,,,,,,,,,,NO,21/03/2026,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9155,Citadines on Bourke,Citadines on Bourke,CAPITALAND AUSTRALIA PTY LTD,,Hotel,="131-135",Bourke Street,MELBOURNE,VIC,3000,-37.81268409,144.96930926,WV1030,Waste,,30/09/2025,,,,,,,,,,,,,,,,,NO,30/09/2025,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9171,Pullman King George Square,Pullman King George Square,CAPITALAND AUSTRALIA PTY LTD,,Hotel,="2",Roma Street,BRISBANE CITY,QLD,4000,-27.46820483,153.02274136,WV1033,Waste,,08/10/2025,,,,,,,,,,,,,,,,,NO,08/10/2025,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
